overall,round,round_pick,fantasy_team_name,player_name,nfl_team,position
1,1,1,Beef Curtain,Jahmyr Gibbs,DET,RB
2,1,2,I'm sorry Wilson!,Christian McCaffrey,SF,RB
3,1,3,You Make My Poll(e)ard,Puka Nacua,LAR,WR
4,1,4,Lips is Lips,Bijan Robinson,ATL,RB
5,1,5,Clam Jammers,Ja'Marr Chase,CIN,WR
6,1,6,Quin(yon)t,Jonathan Taylor,IND,RB
7,1,7,Hock N' Roll,Jaxon Smith-Njigba,SEA,WR
8,1,8,Conner? I barely know her,Amon-Ra St. Brown,DET,WR
9,1,9,Strictly Business,De'Von Achane,MIA,RB
10,1,10,Team Rabasco,James Cook III,BUF,RB
11,1,11,Adrian Peter's Pub,Justin Jefferson,MIN,WR
12,1,12,Young Money McMillanaire,Saquon Barkley,PHI,RB
13,2,1,Young Money McMillanaire,CeeDee Lamb,DAL,WR
14,2,2,Adrian Peter's Pub,Derrick Henry,BAL,RB
15,2,3,Team Rabasco,Omarion Hampton,LAC,RB
16,2,4,Strictly Business,Chase Brown,CIN,RB
17,2,5,Conner? I barely know her,Drake London,ATL,WR
18,2,6,Hock N' Roll,Ashton Jeanty,LV,RB
19,2,7,Quin(yon)t,A.J. Brown,NE,WR
20,2,8,Clam Jammers,Chris Olave,NO,WR
21,2,9,Lips is Lips,Kenneth Walker III,KC,RB
22,2,10,You Make My Poll(e)ard,Jeremiyah Love,ARI,RB
23,2,11,I'm sorry Wilson!,Josh Allen,BUF,QB
24,2,12,Beef Curtain,Trey McBride,ARI,TE
25,3,1,Beef Curtain,Nico Collins,HOU,WR
26,3,2,I'm sorry Wilson!,Breece Hall,NYJ,RB
27,3,3,You Make My Poll(e)ard,Brock Bowers,LV,TE
28,3,4,Lips is Lips,Garrett Wilson,NYJ,WR
29,3,5,Clam Jammers,Rashee Rice,KC,WR
30,3,6,Quin(yon)t,Malik Nabers,NYG,WR
31,3,7,Hock N' Roll,George Pickens,DAL,WR
32,3,8,Conner? I barely know her,Javonte Williams,DAL,RB
33,3,9,Strictly Business,Tetairoa McMillan,CAR,WR
34,3,10,Team Rabasco,Kyren Williams,LAR,RB
35,3,11,Adrian Peter's Pub,DeVonta Smith,PHI,WR
36,3,12,Young Money McMillanaire,Zay Flowers,BAL,WR
37,4,1,Young Money McMillanaire,Ladd McConkey,LAC,WR
38,4,2,Adrian Peter's Pub,Emeka Egbuka,TB,WR
39,4,3,Team Rabasco,Davante Adams,LAR,WR
40,4,4,Strictly Business,Travis Etienne Jr.,NO,RB
41,4,5,Conner? I barely know her,Tee Higgins,CIN,WR
42,4,6,Hock N' Roll,Quinshon Judkins,CLE,RB
43,4,7,Quin(yon)t,Colston Loveland,CHI,TE
44,4,8,Clam Jammers,Bhayshul Tuten,JAX,RB
45,4,9,Lips is Lips,Bucky Irving,TB,RB
46,4,10,You Make My Poll(e)ard,Jaylen Waddle,DEN,WR
47,4,11,I'm sorry Wilson!,Josh Jacobs,GB,RB
48,4,12,Beef Curtain,Cam Skattebo,NYG,RB
49,5,1,Beef Curtain,D'Andre Swift,CHI,RB
50,5,2,I'm sorry Wilson!,Tyler Warren,IND,TE
51,5,3,You Make My Poll(e)ard,Terry McLaurin,WSH,WR
52,5,4,Lips is Lips,Jameson Williams,DET,WR
53,5,5,Clam Jammers,David Montgomery,HOU,RB
