overall,round,round_pick,fantasy_team_name,player_name,nfl_team,position
1,1,1,Beef Curtain,Jahmyr Gibbs,DET,RB
2,1,2,I'm sorry Wilson!,Bijan Robinson,ATL,RB
3,1,3,You Make My Poll(e)ard,Ja'Marr Chase,CIN,WR
4,1,4,Lips is Lips,Amon-Ra St. Brown,DET,WR
5,1,5,Clam Jammers,Puka Nacua,LAR,WR
6,1,6,Quin(yon)t,Jaxon Smith-Njigba,SEA,WR
7,1,7,Hock N' Roll,Jonathan Taylor,IND,RB
8,1,8,Conner? I barely know her,Christian McCaffrey,SF,RB
9,1,9,Strictly Business,Justin Jefferson,MIN,WR
10,1,10,Team Rabasco,James Cook III,BUF,RB
11,1,11,Adrian Peter's Pub,CeeDee Lamb,DAL,WR
12,1,12,Young Money McMillanaire,Chase Brown,CIN,RB
13,2,1,Young Money McMillanaire,De'Von Achane,MIA,RB
14,2,2,Adrian Peter's Pub,Saquon Barkley,PHI,RB
15,2,3,Team Rabasco,Omarion Hampton,LAC,RB
16,2,4,Strictly Business,A.J. Brown,NE,WR
17,2,5,Conner? I barely know her,Drake London,ATL,WR
18,2,6,Hock N' Roll,Trey McBride,ARI,TE
19,2,7,Quin(yon)t,Derrick Henry,BAL,RB
20,2,8,Clam Jammers,Ashton Jeanty,LV,RB
21,2,9,Lips is Lips,Brock Bowers,LV,TE
22,2,10,You Make My Poll(e)ard,Nico Collins,HOU,WR
23,2,11,I'm sorry Wilson!,Jeremiyah Love,ARI,RB
24,2,12,Beef Curtain,Kenneth Walker III,KC,RB
25,3,1,Beef Curtain,Garrett Wilson,NYJ,WR
26,3,2,I'm sorry Wilson!,Breece Hall,NYJ,RB
27,3,3,You Make My Poll(e)ard,Rashee Rice,KC,WR
28,3,4,Lips is Lips,Josh Allen,BUF,QB
29,3,5,Clam Jammers,Chris Olave,NO,WR
30,3,6,Quin(yon)t,Kyren Williams,LAR,RB
31,3,7,Hock N' Roll,George Pickens,DAL,WR
32,3,8,Conner? I barely know her,Josh Jacobs,GB,RB
33,3,9,Strictly Business,Malik Nabers,NYG,WR
34,3,10,Team Rabasco,Emeka Egbuka,TB,WR
35,3,11,Adrian Peter's Pub,Javonte Williams,DAL,RB
36,3,12,Young Money McMillanaire,Tetairoa McMillan,CAR,WR
37,4,1,Young Money McMillanaire,DeVonta Smith,PHI,WR
38,4,2,Adrian Peter's Pub,Travis Etienne Jr.,NO,RB
39,4,3,Team Rabasco,Zay Flowers,BAL,WR
40,4,4,Strictly Business,Quinshon Judkins,CLE,RB
41,4,5,Conner? I barely know her,Ladd McConkey,LAC,WR
42,4,6,Hock N' Roll,Colston Loveland,CHI,TE
43,4,7,Quin(yon)t,Davante Adams,LAR,WR
44,4,8,Clam Jammers,Jaylen Waddle,DEN,WR
45,4,9,Lips is Lips,Tee Higgins,CIN,WR
46,4,10,You Make My Poll(e)ard,Cam Skattebo,NYG,RB
47,4,11,I'm sorry Wilson!,Lamar Jackson,BAL,QB
48,4,12,Beef Curtain,Terry McLaurin,WSH,WR
49,5,1,Beef Curtain,Bhayshul Tuten,JAX,RB
50,5,2,I'm sorry Wilson!,DJ Moore,BUF,WR
51,5,3,You Make My Poll(e)ard,David Montgomery,HOU,RB
52,5,4,Lips is Lips,Jameson Williams,DET,WR
53,5,5,Clam Jammers,Jayden Daniels,WSH,QB
54,5,6,Quin(yon)t,D'Andre Swift,CHI,RB
55,5,7,Hock N' Roll,Rome Odunze,CHI,WR
56,5,8,Conner? I barely know her,Bucky Irving,TB,RB
57,5,9,Strictly Business,Tyler Warren,IND,TE
58,5,10,Team Rabasco,Drake Maye,NE,QB
59,5,11,Adrian Peter's Pub,Luther Burden III,CHI,WR
60,5,12,Young Money McMillanaire,Carnell Tate,TEN,WR
61,6,1,Young Money McMillanaire,Joe Burrow,CIN,QB
62,6,2,Adrian Peter's Pub,Jalen Hurts,PHI,QB
63,6,3,Team Rabasco,Marvin Harrison Jr.,ARI,WR
64,6,4,Strictly Business,Rhamondre Stevenson,NE,RB
65,6,5,Conner? I barely know her,Harold Fannin Jr.,CLE,TE
